"name","ticker","country","listed","exchange","cik","formerly_names","current_name","original_names"
"ASLAN Pharmaceuticals","ASLN","Singapore",True,"NASDAQ","0001722926","","ASLAN Pharmaceuticals Ltd","Aslan Pharmaceuticals"
"AVANT IMMUNOTHERAPEUTICS INC","AVAN","Cayman Islands",True,"NYSE","0000744218","T CELL SCIENCES INC||AVANT IMMUNOTHERAPEUTICS INC","Celldex Therapeutics, Inc.","Avant Immunotherapeutics"
"AVEDRO INC","AVDR",NULL,False,"NYSE","0001343304","","AVEDRO INC","Avedro, Inc."
"AVEO Pharmaceuticals","AVEO","United States",True,"NASDAQ","0001325879","AVEO PHARMACEUTICALS INC","AVEO PHARMACEUTICALS, INC.","AVEO Pharmaceuticals, Inc."
"AVON PRODUCTS INC","AVP",NULL,False,"NYSE","0000008868","","AVON PRODUCTS INC","Avon Products, Inc."
"AVROBIO","AVRO","United States",True,"NASDAQ","0001681087","","AVROBIO, Inc.","AVROBIO;AvroBio"
"AYTU BIOSCIENCE INC","AYTU","United States",True,"NASDAQ","0001385818","Rosewind CORP||AYTU BIOSCIENCE, INC","AYTU BIOPHARMA, INC","Aytu BioScience, Inc."
"Aadi Bioscience","AADI","United States",True,"NASDAQ","0001422142","Aerpio Pharmaceuticals, Inc.||ZETA ACQUISITION CORP II","Aadi Bioscience, Inc.","Aadi, LLC"
"AbbVie","ABBV","United States",True,"NYSE","0001551152","","AbbVie Inc.","AbbVie;AbbVie (prior sponsor, Abbott)"
"Abeona Therapeutics","ABEO","United States",True,"NASDAQ","0000318306","CHEMEX PHARMACEUTICALS INC||ACCESS PHARMACEUTICALS INC||PLASMATECH BIOPHARMACEUTICALS INC","ABEONA THERAPEUTICS INC.","Abeona Therapeutics, Inc"
"Acasti Pharma","ACST","Canada",True,"NASDAQ","0001444192","","Acasti Pharma Inc.","Acasti Pharma Inc."
"Accelerate Diagnostics","AXDX","United States",True,"NASDAQ","0000727207","ACCELR8 TECHNOLOGY CORP","Accelerate Diagnostics, Inc","Accelerate Diagnostics, Inc."
"Accenture","ACN","Ireland",True,"NYSE","0001467373","","Accenture plc","Accenture"
"Accuray Incorporated","ARAY","United States",True,"NASDAQ","0001138723","","ACCURAY INC","Accuray Incorporated"
"AcelRx Pharmaceuticals","ACRX","United States",True,"NASDAQ","0001427925","","ACELRX PHARMACEUTICALS INC","AcelRx Pharmaceuticals, Inc."
"Achaogen","AKAO",NULL,False,"NASDAQ","0001301501","Achaogen Inc","Achaogen, Inc.","Achaogen, Inc."
"Achieve Life Sciences","ACHV","United States",True,"NASDAQ","0000949858","ONCOGENEX PHARMACEUTICALS, INC.||SONUS PHARMACEUTICALS INC","ACHIEVE LIFE SCIENCES, INC.","Achieve Life Sciences"
"Aclaris Therapeutics","ACRS","United States",True,"NASDAQ","0001557746","","Aclaris Therapeutics, Inc.","Aclaris Therapeutics, Inc."
"Acorda Therapeutics","ACOR","United States",True,"NASDAQ","0001008848","","ACORDA THERAPEUTICS INC","Acorda Therapeutics"
"Actavis","ACT","United States",True,"NASDAQ","0000884629","WATSON PHARMACEUTICALS INC||Actavis, Inc.","Allergan Finance LLC","Actavis Inc."
"Actinium Pharmaceuticals","ATNM","United States",True,"AMEX","0001388320","Cactus Ventures, Inc.","Actinium Pharmaceuticals, Inc.","Actinium Pharmaceuticals"
"Acumen Pharmaceuticals","ABOS","United States",True,"NASDAQ","0001576885","","Acumen Pharmaceuticals, Inc.","Acumen Pharmaceuticals"
"Acurx Pharmaceuticals","ACXP","United States",True,"NASDAQ","0001736243","Acurx Pharmaceuticals, LLC","Acurx Pharmaceuticals, Inc.","Acurx Pharmaceuticals LLC"
"Acutus Medical","AFIB","United States",True,"NASDAQ","0001522860","","Acutus Medical, Inc.","Acutus Medical"
"Adagene","ADAG","China",True,"NASDAQ","0001818838","","Adagene Inc.","Adagene (Suzhou) Limited;Adagene Inc"
"Adagio Therapeutics","ADGI","United States",True,"NASDAQ","0001832038","","Adagio Therapeutics, Inc.","Adagio Therapeutics, Inc."
"Adamas Pharmaceuticals","ADMS",NULL,False,"NASDAQ","0001328143","NeuroMolecular Pharmaceuticals Inc","Adamas Pharmaceuticals Inc","Adamas Pharmaceuticals, Inc."
"Adamis Pharmaceuticals Corporation","ADMP","United States",True,"NASDAQ","0000887247","CELLEGY PHARMACEUTICALS INC","Adamis Pharmaceuticals Corp","Adamis Pharmaceuticals Corporation"
"Adaptimmune Therapeutics","ADAP","United Kingdom",True,"NASDAQ","0001621227","Adaptimmune Ltd","Adaptimmune Therapeutics PLC","Adaptimmune"
"Adaptive Biotechnologies Corporation","ADPT","United States",True,"NASDAQ","0001478320","Adaptive TCR Corp","Adaptive Biotechnologies Corp","Adaptive Biotechnologies"
"Adial Pharmaceuticals","ADIL","United States",True,"NASDAQ","0001513525","ADial Pharmaceuticals, L.L.C.||Adial Pharmaceuticals, L.L.C.","ADIAL PHARMACEUTICALS, INC.","Adial Pharmaceuticals"
"Adicet Bio","ACET","United States",True,"NASDAQ","0001720580","resTORbio, Inc.","Adicet Bio, Inc.","Adicet Bio, Inc"
"Advanced Accelerator Applications S.A.","AAAP",NULL,False,"NASDAQ","0001611787","","Advanced Accelerator Applications S.A.","Advanced Accelerator Applications"
"Advaxis","ADXS","United States",False,"NASDAQ","0001100397","GREAT EXPECTATIONS & ASSOCIATES INC","Advaxis, Inc.","Advaxis, Inc."
"Adverum Biotechnologies","ADVM","United States",True,"NASDAQ","0001501756","Avalanche Biotechnologies, Inc.","Adverum Biotechnologies, Inc.","Adverum Biotechnologies, Inc."
"Adynxx","ADYX","United States",False,"NASDAQ","0001054274","ZETA CORP||Alliqua BioMedical, Inc.||ZETA CORP /CA||HEPALIFE TECHNOLOGIES INC||Alliqua, Inc.","Adynxx, Inc.","Adynxx, Inc."
"Aegerion Pharmaceuticals","AEGR",NULL,False,"NASDAQ","0001338042","Aegerion Pharmaceuticals Inc","Aegerion Pharmaceuticals, Inc.","Aegerion Pharmaceuticals, Inc."
"Aeglea BioTherapeutics","AGLE","United States",True,"NASDAQ","0001636282","","Aeglea BioTherapeutics, Inc.","Aeglea Biotherapeutics"
"Aerie Pharmaceuticals","AERI","United States",True,"NASDAQ","0001337553","","AERIE PHARMACEUTICALS INC","Aerie Pharmaceuticals"
"Aerovate Therapeutics","AVTE","United States",True,"NASDAQ","0001798749","","Aerovate Therapeutics, Inc.","Aerovate Therapeutics"
"Aeterna Zentaris","AEZS","Canada",True,"NASDAQ","0001113423","AETERNA LABORATORIES INC","Aeterna Zentaris Inc.","AEterna Zentaris"
"Aethlon Medical","AEMD","United States",True,"NASDAQ","0000882291","BISHOP EQUITIES INC","AETHLON MEDICAL INC","Aethlon Medical Inc."
"Aetna, Inc.","AET",NULL,False,"NYSE","0001122304","AETNA U S HEALTHCARE INC","AETNA INC /PA/","Aetna, Inc."
"AgenTus Therapeutics","INKT","United States",True,"NASDAQ","0001840229","AgenTus Therapeutics, Inc.","MiNK Therapeutics, Inc.","AgenTus Therapeutics, Inc."
"Agenus","AGEN","United States",True,"NASDAQ","0001098972","ANTIGENICS INC /DE/","AGENUS INC","Agenus Inc."
"Agile Therapeutics","AGRX","United States",True,"NASDAQ","0001261249","","AGILE THERAPEUTICS INC","Agile Therapeutics"
"Agios Pharmaceuticals","AGIO","United States",True,"NASDAQ","0001439222","AGIOS PHARMACEUTICALS INC","AGIOS PHARMACEUTICALS, INC.","Agios Pharmaceuticals, Inc."
"Aileron Therapeutics","ALRN","United States",True,"NASDAQ","0001420565","","AILERON THERAPEUTICS INC","Aileron Therapeutics"
"Aimmune Therapeutics","AIMT",NULL,False,"NASDAQ","0001631650","Allergen Research Corp","Aimmune Therapeutics, Inc.","Aimmune Therapeutics, Inc."
"Akari Therapeutics","AKTX","United Kingdom",True,"NASDAQ","0001541157","Celsus Therapeutics Plc.||Morria Biopharmaceuticals PLC","Akari Therapeutics Plc","AKARI Therapeutics"
"Akebia Therapeutics","AKBA","United States",True,"NASDAQ","0001517022","","Akebia Therapeutics, Inc.","Akebia Therapeutics"
"Akero Therapeutics","AKRO","United States",True,"NASDAQ","0001744659","","Akero Therapeutics, Inc.","Akero Therapeutics, Inc"
"Alaunos Therapeutics","TCRT",NULL,True,"NASDAQ","0001107421","ZIOPHARM ONCOLOGY INC||EASYWEB INC","Alaunos Therapeutics, Inc.","Ziopharm"
"Albireo Pharma","ALBO","United States",True,"NASDAQ","0001322505","Biodel Inc","ALBIREO PHARMA, INC.","Albireo"
"Aldeyra Therapeutics","ALDX","United States",True,"NASDAQ","0001341235","Aldexa Therapeutics, Inc.||Neuron Systems Inc","Aldeyra Therapeutics, Inc.","Aldeyra Therapeutics, Inc."
"Alector","ALEC","United States",True,"NASDAQ","0001653087","Alector LLC","Alector, Inc.","Alector Inc."
"Align Technology","ALGN","United States",True,"NASDAQ","0001097149","","ALIGN TECHNOLOGY INC","Align Technology, Inc."
"Aligos Therapeutics","ALGS","United States",True,"NASDAQ","0001799448","","Aligos Therapeutics, Inc.","Aligos Therapeutics"
"Alimera Sciences","ALIM","United States",True,"NASDAQ","0001267602","","ALIMERA SCIENCES INC","Alimera Sciences"
"Alkermes","ALKS","Ireland",True,"NASDAQ","0001520262","Antler Science Two Ltd||ANTLER SCIENCE TWO PLC","Alkermes plc.","Alkermes, Inc."
"Allakos","ALLK","United States",True,"NASDAQ","0001564824","","Allakos Inc.","Allakos, Inc."
"Allarity Therapeutics","ALLR","United States",True,"NASDAQ","0001860657","","Allarity Therapeutics, Inc.","Allarity Therapeutics"
"Allena Pharmaceuticals","ALNA","United States",True,"NASDAQ","0001624658","","Allena Pharmaceuticals, Inc.","Allena Pharmaceuticals"
"Allergan Funding SCS","AGN",NULL,False,"NYSE","0001578845","Actavis plc||Actavis Ltd","Allergan plc","Allergan"
"Alliqua BioMedical","ALQA",NULL,False,"NASDAQ","0001054274","ZETA CORP||Alliqua BioMedical, Inc.||ZETA CORP /CA||HEPALIFE TECHNOLOGIES INC||Alliqua, Inc.","Adynxx, Inc.","Alliqua BioMedical, Inc"
"AlloVir","ALVR","United States",True,"NASDAQ","0001754068","ViraCyte, Inc.","Allovir, Inc.","AlloVir"
"Allogene Therapeutics","ALLO","United States",True,"NASDAQ","0001737287","","Allogene Therapeutics, Inc.","Allogene Therapeutics"
"Alnylam Pharmaceuticals","ALNY","United States",True,"NASDAQ","0001178670","ALNYLAM PHARMACEUTICALS INC","ALNYLAM PHARMACEUTICALS, INC.","Alnylam Pharmaceuticals"
"Alpine Immune Sciences","ALPN","United States",True,"NASDAQ","0001626199","Nivalis Therapeutics, Inc.||N30 Pharmaceuticals, Inc.","ALPINE IMMUNE SCIENCES, INC.","Alpine Immune Sciences, Inc."
"Alterity Therapeutics","ATHE","Australia",True,"NASDAQ","0001131343","PRANA BIOTECHNOLOGY LTD","ALTERITY THERAPEUTICS LTD","Alterity Therapeutics"
"Altimmune","ALT","United States",True,"NASDAQ","0001326190","PHARMATHENE, INC||HEALTHCARE ACQUISITION CORP","Altimmune, Inc.","Altimmune, Inc."
"Altus Pharmaceuticals","ALTU","United States",True,"NASDAQ","0001340744","","Altus Pharmaceuticals Inc.","Altus Pharmaceuticals"
"Ambrx Biopharma","AMAM","",True,"NYSE","0001836056","","Ambrx Biopharma Inc.","Ambrx, Inc."
"Amgen","AMGN","United States",True,"NASDAQ","0000318154","","AMGEN INC","Amgen"
"Amicus Therapeutics","FOLD","United States",True,"NASDAQ","0001178879","AMICUS THERAPEUTICS INC","AMICUS THERAPEUTICS, INC.","Amicus Therapeutics"
"Amneal Pharmaceuticals","AMRX","",True,"NYSE","0001723128","Atlas Holdings, Inc.","Amneal Pharmaceuticals, Inc.","Amneal Pharmaceuticals, LLC"
"Amphastar Pharmaceuticals","AMPH","United States",True,"NASDAQ","0001297184","","Amphastar Pharmaceuticals, Inc.","Amphastar Pharmaceuticals, Inc."
"Ampio Pharmaceuticals","AMPE","United States",True,"AMEX","0001411906","Chay Enterprises, Inc.","Ampio Pharmaceuticals, Inc.","Ampio Pharmaceuticals. Inc."
"Amryt Pharma","AMYT","United Kingdom",True,"NASDAQ","0001783010","Amryt Pharma Holdings Ltd","Amryt Pharma plc","Amryt Pharma"
"Amylyx Pharmaceuticals","AMLX","United States",True,"NASDAQ","0001658551","","Amylyx Pharmaceuticals, Inc.","Amylyx Pharmaceuticals Inc."
"AnaptysBio","ANAB","United States",True,"NASDAQ","0001370053","ANAPTYSBIO INC||ANAPTYS BIOSCIENCES INC","ANAPTYSBIO, INC","AnaptysBio, Inc."
"Anavex Life Sciences Corp.","AVXL","United States",True,"NASDAQ","0001314052","Thrifty Printing Inc.","ANAVEX LIFE SCIENCES CORP.","Anavex Life Sciences Corp."
"AngioDynamics","ANGO","United States",True,"NASDAQ","0001275187","","ANGIODYNAMICS INC","Angiodynamics, Inc."
"Angion Biomedica Corp.","ANGN","United States",True,"NASDAQ","0001601485","","Angion Biomedica Corp.","Angion Biomedica Corp"
"Anika Therapeutics","ANIK","United States",True,"NASDAQ","0000898437","ANIKA THERAPEUTICS INC||ANIKA RESEARCH INC","Anika Therapeutics, Inc.","Anika Therapeutics, Inc."
"Annexon","ANNX","United States",True,"NASDAQ","0001528115","","Annexon, Inc.","Annexon, Inc."
"Annovis Bio","ANVS","United States",True,"NYSE","0001477845","QR Pharma, Inc.","Annovis Bio, Inc.","Annovis Bio Inc."
"Antares Pharma","ATRS","United States",True,"NASDAQ","0001016169","ANTARES PHARMA INC /MN/||ANTARES PHARMA  INC||MEDI JECT CORP /MN/||ANTARES PHARMA INC","ANTARES PHARMA, INC.","Antares Pharma Inc."
"Anthem","ANTM","United States",True,"NYSE","0001156039","WELLPOINT, INC||ANTHEM INC||WELLPOINT INC","Anthem, Inc.","Anthem, Inc"
"Anthera Pharmaceuticals","ANTH","United States",False,"NASDAQ","0001316175","","Anthera Pharmaceuticals Inc","Anthera Pharmaceuticals"
"Apellis Pharmaceuticals","APLS","United States",True,"NASDAQ","0001492422","","Apellis Pharmaceuticals, Inc.","Apellis Pharmaceuticals, Inc."
"Apollo Endosurgery","APEN","United States",True,"NASDAQ","0001251769","JCG  INC||NEIGHBORHOOD CONNECTIONS INC||LPATH, INC||LPATH INC","Apollo Endosurgery, Inc.","Apollo Endosurgery, Inc."
"Applied Molecular Transport","AMTI","United States",True,"NASDAQ","0001801777","Applied Molecular Transport LLC","Applied Molecular Transport Inc.","Applied Molecular Transport"
"Applied Therapeutics","APLT","United States",True,"NASDAQ","0001697532","","Applied Therapeutics Inc.","Applied Therapeutics, Inc."
"Aprea Therapeutics","APRE","United States",True,"NASDAQ","0001781983","","Aprea Therapeutics, Inc.","Aprea Therapeutics"
"Aptevo Therapeutics","APVO","United States",True,"NASDAQ","0001671584","","Aptevo Therapeutics Inc.","Aptevo Therapeutics"
"Aptinyx","APTX","United States",True,"NASDAQ","0001674365","","Aptinyx Inc.","Aptinyx"
"Aptose Biosciences","APTO","Canada",True,"NASDAQ","0000882361","IMUTEC PHARMA INC||LORUS THERAPEUTICS INC","Aptose Biosciences Inc.","Aptose Biosciences Inc."
"Apyx Medical Corporation","APYX","United States",True,"NASDAQ","0000719135","BOVIE MEDICAL CORP||AN CON GENETICS INC||BOVIE MEDICAL Corp","Apyx Medical Corp","Apyx Medical"
"Aquestive Therapeutics","AQST","United States",True,"NASDAQ","0001398733","MonoSol Rx, Inc.","Aquestive Therapeutics, Inc.","Aquestive Therapeutics"
"Aravive","ARAV","United States",True,"NASDAQ","0001513818","Versartis, Inc.","Aravive, Inc.","Aravive, Inc."
"Arbutus Biopharma Corporation","ABUS","Canada",True,"NASDAQ","0001447028","TEKMIRA PHARMACEUTICALS Corp||TEKMIRA PHARMACEUTICALS CORP","Arbutus Biopharma Corp","Arbutus Biopharma Corporation"
"Arcellx","ACLX","United States",True,"NASDAQ","0001786205","","Arcellx, Inc.","Arcellx, Inc."
"Arcturus Therapeutics Holdings","ARCT","Israel",True,"NASDAQ","0001768224","","Arcturus Therapeutics Holdings Inc.","Arcturus Therapeutics, Inc."
"Arcus Biosciences","RCUS","",True,"NYSE","0001724521","","Arcus Biosciences, Inc.","Arcus Biosciences, Inc."
"Arcutis Biotherapeutics","ARQT","United States",True,"NASDAQ","0001787306","Arcutis, Inc.","Arcutis Biotherapeutics, Inc.","Arcutis Biotherapeutics, Inc."
"Ardelyx","ARDX","United States",True,"NASDAQ","0001437402","NTERYX INC","ARDELYX, INC.","Ardelyx"
"Arena Pharmaceuticals","ARNA","United States",True,"NASDAQ","0001080709","","ARENA PHARMACEUTICALS INC","Arena Pharmaceuticals"
"Aridis Pharmaceuticals","ARDS","United States",True,"NASDAQ","0001614067","","Aridis Pharmaceuticals, Inc.","Aridis Pharmaceuticals, Inc."
"Armata Pharmaceuticals","ARMP","United States",True,"AMEX","0000921114","TARGETED GENETICS CORP /WA/||AmpliPhi Biosciences Corp","Armata Pharmaceuticals, Inc.","Armata Pharmaceuticals, Inc."
"Arrowhead Pharmaceuticals","ARWR","United States",True,"NASDAQ","0000879407","INTERACTIVE INC||INTERACTIVE GROUP INC||ARROWHEAD RESEARCH CORP","ARROWHEAD PHARMACEUTICALS, INC.","Arrowhead Pharmaceuticals"
"Arsanis","ASNS",NULL,False,"NASDAQ","0001501697","Arsanis, Inc.","X4 Pharmaceuticals, Inc","Arsanis, Inc."
"Arsenal Medical","LYRA","United States",True,"NASDAQ","0001528846","","Arsenal Medical, Inc.","Arsenal Medical, Inc."
"Artivion","AORT",NULL,True,"NYSE","0000784199","CRYOLIFE INC","ARTIVION, INC.","CryoLife, Inc."
"Arvinas","ARVN","United States",True,"NASDAQ","0001655759","ARVINAS INC.||ARVINAS HOLDING COMPANY, LLC","ARVINAS, INC.","Arvinas Inc"
"Ascendis Pharma A/S","ASND","Denmark",True,"NASDAQ","0001612042","","Ascendis Pharma A/S","Ascendis Pharma A/S"
"Aspira Women's Health","AWH","United States",True,"NASDAQ","0000926617","CIPHERGEN BIOSYSTEMS INC||VERMILLION, INC.","Aspira Women's Health Inc.","Aspira Women's Health"
"Assembly Biosciences","ASMB","United States",True,"NASDAQ","0001426800","VENTRUS BIOSCIENCES INC","ASSEMBLY BIOSCIENCES, INC.","Assembly Biosciences"
"Asterias Biotherapeutics","AST",NULL,False,"NYSE","0001572552","","Asterias Biotherapeutics, Inc.","Asterias Biotherapeutics, Inc."
"AstraZeneca PLC","AZN","United Kingdom",True,"NASDAQ","0000901832","ZENECA GROUP PLC","ASTRAZENECA PLC","AstraZeneca"
"Astria Therapeutics","ATXS",NULL,True,"NASDAQ","0001454789","CATABASIS PHARMACEUTICALS INC","Astria Therapeutics, Inc.","Catabasis Pharmaceuticals"
"Atara Biotherapeutics","ATRA","United States",True,"NASDAQ","0001604464","","Atara Biotherapeutics, Inc.","Atara Biotherapeutics"
"Atea Pharmaceuticals","AVIR","United States",True,"NASDAQ","0001593899","","Atea Pharmaceuticals, Inc.","Atea Pharmaceuticals, Inc."
"Athenex","ATNX","United States",True,"NASDAQ","0001300699","Kinex Pharmaceuticals, Inc.||Kinex Pharmaceuticals LLC","Athenex, Inc.","Athenex, Inc."
"Athersys","ATHX","United States",True,"NASDAQ","0001368148","BTHC VI Inc","ATHERSYS, INC / NEW","Athersys, Inc"
"Athira Pharma","ATHA","United States",True,"NASDAQ","0001620463","M3 Biotechnology, Inc.","Athira Pharma, Inc.","Athira Pharma"
"Atossa Genetics, Inc.","ATOS","United States",True,"NASDAQ","0001488039","ATOSSA GENETICS INC","ATOSSA THERAPEUTICS, INC.","Atossa Genetics, Inc."
"Atreca","BCEL","United States",True,"NASDAQ","0001532346","","Atreca, Inc.","Atreca, Inc."
"AtriCure","ATRC","United States",True,"NASDAQ","0001323885","","AtriCure, Inc.","AtriCure, Inc."
"Audentes Therapeutics","BOLD",NULL,False,"NASDAQ","0001628738","","Audentes Therapeutics, Inc.","Audentes Therapeutics"
"Aura Biosciences","AURA","United States",True,"NASDAQ","0001501796","","Aura Biosciences, Inc.","Aura Biosciences"
"Aurinia Pharmaceuticals","AUPH","Canada",True,"NASDAQ","0001600620","","Aurinia Pharmaceuticals Inc.","Aurinia Pharmaceuticals Inc."
"Auris Medical Holding AG","EARS",NULL,False,"NASDAQ","0001601936","Auris Medical Holding AG||Auris Medical Holding Ltd.||Auris Medical AG","Altamira Therapeutics Ltd.","Auris Medical, Inc."
"Aurora Cannabis","ACB","Canada",True,"NASDAQ","0001683541","","AURORA CANNABIS INC","Aurora Cannabis Inc"
"Autolus Therapeutics","AUTL","United Kingdom",True,"NASDAQ","0001730463","Autolus Therapeutics Ltd","Autolus Therapeutics plc","Autolus Limited"
"Avadel Pharmaceuticals","AVDL","France",True,"NASDAQ","0001012477","FLAMEL TECHNOLOGIES SA","AVADEL PHARMACEUTICALS PLC","Avadel"
"Avalo Therapeutics","AVTX",NULL,True,"NASDAQ","0001534120","Cerecor Inc.","Avalo Therapeutics, Inc.","Cerecor Inc"
"Avanos Medical","AVNS","United States",True,"NYSE","0001606498","Halyard Health, Inc.","AVANOS MEDICAL, INC.","Avanos Medical"
"AveXis","AVXS",NULL,False,"NASDAQ","0001652923","","AveXis, Inc.","AveXis, Inc."
"Avenue Therapeutics","ATXI","United States",True,"NASDAQ","0001644963","","AVENUE THERAPEUTICS, INC.","Avenue Therapeutics, Inc."
